1 weevil detection(s) on | Sun Mar 21 19:04:30 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 140 
1 weevil detection(s) on | Sun Mar 21 19:04:31 2021 | confidence: 0.94 x=1033 y= 377 ImageNr: 141 
1 weevil detection(s) on | Sun Mar 21 19:04:32 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 142 
1 weevil detection(s) on | Sun Mar 21 19:04:33 2021 | confidence: 0.95 x=1032 y= 379 ImageNr: 143 
1 weevil detection(s) on | Sun Mar 21 19:04:34 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 144 
1 weevil detection(s) on | Sun Mar 21 19:04:35 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 145 
1 weevil detection(s) on | Sun Mar 21 19:04:36 2021 | confidence: 0.88 x= 639 y=1063 ImageNr: 146 
1 weevil detection(s) on | Sun Mar 21 19:04:36 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 147 
1 weevil detection(s) on | Sun Mar 21 19:04:37 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 148 
1 weevil detection(s) on | Sun Mar 21 19:04:38 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 149 
1 weevil detection(s) on | Sun Mar 21 19:04:39 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 150 
1 weevil detection(s) on | Sun Mar 21 19:04:40 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 151 
1 weevil detection(s) on | Sun Mar 21 19:04:40 2021 | confidence: 0.82 x=1462 y= 569 ImageNr: 152 
1 weevil detection(s) on | Sun Mar 21 19:04:41 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 153 
1 weevil detection(s) on | Sun Mar 21 19:04:42 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 154 
1 weevil detection(s) on | Sun Mar 21 19:04:42 2021 | confidence: 0.83 x=1462 y= 569 ImageNr: 155 
1 weevil detection(s) on | Sun Mar 21 19:04:43 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 156 
1 weevil detection(s) on | Sun Mar 21 19:04:44 2021 | confidence: 0.96 x=1032 y= 378 ImageNr: 157 
1 weevil detection(s) on | Sun Mar 21 19:04:45 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 158 
1 weevil detection(s) on | Sun Mar 21 19:04:46 2021 | confidence: 0.83 x= 639 y=1064 ImageNr: 159 
1 weevil detection(s) on | Sun Mar 21 19:04:46 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 160 
1 weevil detection(s) on | Sun Mar 21 19:04:47 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 161 
1 weevil detection(s) on | Sun Mar 21 19:04:48 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 162 
1 weevil detection(s) on | Sun Mar 21 19:04:49 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 163 
1 weevil detection(s) on | Sun Mar 21 19:04:50 2021 | confidence: 0.82 x= 639 y=1064 ImageNr: 164 
1 weevil detection(s) on | Sun Mar 21 19:04:50 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 165 
1 weevil detection(s) on | Sun Mar 21 19:04:51 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 166 
1 weevil detection(s) on | Sun Mar 21 19:04:52 2021 | confidence: 0.81 x= 639 y=1063 ImageNr: 167 
1 weevil detection(s) on | Sun Mar 21 19:04:52 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 168 
1 weevil detection(s) on | Sun Mar 21 19:04:53 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 169 
1 weevil detection(s) on | Sun Mar 21 19:04:54 2021 | confidence: 0.96 x=1033 y= 378 ImageNr: 170 
1 weevil detection(s) on | Sun Mar 21 19:04:56 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 171 
1 weevil detection(s) on | Sun Mar 21 19:04:57 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 172 
1 weevil detection(s) on | Sun Mar 21 19:04:58 2021 | confidence: 0.95 x=1031 y= 377 ImageNr: 173 
